CaseNumber,Initial_Response_SLA_Violated__c
02035210,False
02035274,False
02035293,False
02035317,False
02035321,False
02035345,False
02035383,False
02035390,False
02035407,False
02035411,False
02035417,False
02035421,False
02035426,False
02035428,False
02035431,False
02035432,False
02035439,False
02035447,False
02035452,False
02035457,False
02035465,False
02035490,False
02035499,False
02035544,False
02035574,False
02035604,False
02035640,True
02035641,False
02035649,False
02035653,False
02035676,False
02035685,False
02035686,False
02035690,False
02035692,False
02035702,False
02035703,False
02035706,False
02035707,False
02035715,True
02035728,False
02035730,True
02035732,False
02035736,False
02035742,False
02035744,False
02035745,False
02035753,False
02035759,False
02035762,False
02035766,False
02035767,False
02035771,False
02035773,False
02035792,False
02035799,False
02035807,False
02035820,False
02035822,True
02035827,False
02035835,False
02035844,True
02035851,False
02035852,False
02035855,False
02035856,False
02035863,False
02035864,True
02035867,False
02035878,False
02035889,False
02035914,False
02035917,False
02035923,False
02035932,True
02035940,False
02035943,False
02035950,False
02035953,False
02035962,False
02035969,False
02035983,False
02035996,False
02036000,False
02036003,False
02036010,False
02036011,False
02036025,False
02036036,False
02036040,False
02036045,False
02036048,False
02036056,False
02036059,False
02036060,False
02036065,False
02036066,False
02036067,False
02036069,False
02036075,False
02036078,False
02036080,False
02036081,False
02036103,False
02036104,False
02036105,False
02036108,False
02036109,False
02036113,False
02036115,False
02036117,True
02036118,False
02036129,False
02036136,False
02036142,False
02036143,False
02036145,False
02036157,False
02036158,False
02036159,False
02036160,False
02036161,False
02036162,False
02036163,False
02036169,False
02036171,False
02036172,False
02036187,False
02036199,False
02036201,False
02036203,False
02036226,False
02036227,False
02036235,False
02036265,False
02036267,False
02036275,False
02036282,False
02036306,False
02036323,True
02036331,False
02036340,False
02036365,False
02036368,False
02036376,False
02036378,False
02036383,False
02036385,False
02036388,False
02036389,False
02036401,False
02036412,False
02036427,False
02036428,False
02036431,False
02036435,False
02036452,False
02036457,False
02036463,False
02036468,False
02036473,False
02036478,True
02036479,True
02036485,True
02036500,False
02036507,False
02036509,True
02036513,False
02036514,False
02036518,False
02036541,True
02036542,False
02036543,False
02036551,False
02036552,False
02036553,False
02036561,False
02036566,False
02036567,False
02036579,False
02036582,False
02036585,False
02036589,False
02036594,False
02036641,False
02036667,False
02036675,False
02036676,False
02036677,False
02036715,False
02036727,False
02036729,False
02036731,False
02036736,True
02036739,False
02036786,False
02036796,False
02036802,False
02036811,False
02036815,False
02036816,False
02036826,False
02036828,False
02036829,True
02036846,False
02036847,False
02036865,False
02036866,False
02036867,False
02036868,False
02036869,False
02036871,False
02036893,True
02036897,True
02036912,False
02036937,False
02036939,False
02036940,False
02036963,False
02037004,False
02037030,False
02037078,False
02037101,False
02037112,False
02037117,False
02037135,False
02037137,False
02037138,False
02037143,False
02037161,False
02037164,False
02037169,False
02037170,False
02037180,False
02037201,False
02037205,False
02037207,False
02037217,False
02037230,True
02037246,False
02037251,False
02037262,False
02037266,False
02037274,False
02037286,False
02037306,False
02037308,False
02037324,False
02037325,False
02037326,False
02037334,False
02037341,False
02037344,False
02037352,False
02037370,False
02037372,False
02037384,False
02037385,False
02037389,False
02037402,False
02037409,False
02037457,False
02037463,False
02037467,False
02037472,False
02037486,False
02037511,False
02037516,False
02037517,False
02037520,False
02037521,False
02037525,False
02037528,False
02037529,False
02037544,False
02037548,False
02037550,False
02037559,False
02037565,False
02037582,False
02037584,False
02037595,False
02037600,False
02037614,False
02037615,False
02037616,False
02037618,False
02037630,False
02037633,False
02037651,False
02037654,False
02037669,False
02037675,False
02037683,False
02037691,False
02037693,False
02037701,False
02037710,False
02037711,False
02037743,False
02037746,False
02037762,False
02037765,False
02037767,False
02037779,False
02037790,False
02037796,True
02037799,False
02037806,False
02037814,False
02037820,False
02037827,False
02037843,False
02037857,False
02037861,False
02037869,True
02037886,False
02037911,False
02037913,False
02037916,False
02037919,False
02037921,False
02037936,False
02037937,True
02037945,True
02037947,True
02037959,False
02037960,False
02037963,False
02037968,False
02037970,False
02037974,False
02037975,False
02037976,False
02037982,False
02037989,False
02037992,False
02037997,False
02038000,False
02038012,False
02038013,False
02038018,False
02038045,False
02038053,False
02038064,False
02038100,False
02038115,False
02038138,True
02038152,False
02038153,False
02038157,False
02038172,False
02038177,False
02038191,False
02038194,False
02038196,False
02038203,False
02038204,False
02038207,False
02038219,False
02038224,False
02038227,True
02038239,False
02038255,False
02038257,False
02038259,False
02038274,False
02038275,False
02038282,False
02038287,False
02038310,False
02038318,False
02038322,False
02038325,False
02038328,False
02038330,False
02038336,False
02038373,False
02038379,False
02038382,False
02038386,False
02038394,False
02038430,False
02038436,False
02038438,False
02038453,False
02038462,False
02038464,False
02038476,True
02038481,False
02038488,False
02038492,False
02038494,False
02038501,False
02038505,False
02038507,True
02038512,False
02038514,False
02038521,False
02038522,False
02038559,True
02038598,False
02038603,False
02038606,False
02038613,False
02038626,False
02038637,False
02038652,False
02038654,False
02038671,False
02038692,False
02038693,False
02038694,False
02038703,False
02038782,False
02038826,False
02038829,False
02038844,False
02038847,False
02038861,False
02038862,False
02038871,False
02038899,False
02038914,False
02038918,False
02038920,False
02038926,False
02038930,False
02038938,False
02038939,False
02038970,False
02038979,False
02038991,False
02039036,False
02039038,False
02039039,False
02039040,False
02039042,False
02039044,False
02039049,False
02039055,False
02039065,False
02039066,False
02039073,False
02039075,False
02039087,False
02039091,False
02039095,False
02039097,False
02039099,False
02039102,False
02039106,False
02039108,True
02039116,False
02039150,False
02039163,False
02039171,False
02039189,False
02039197,False
02039201,False
02039206,False
02039213,False
02039224,False
02039228,False
02039231,False
02039236,True
02039241,False
02039246,False
02039247,False
02039251,False
02039252,False
02039263,False
02039266,False
02039268,False
02039271,False
02039273,False
02039281,False
02039285,False
02039286,False
02039287,False
02039305,False
02039314,False
02039322,False
02039333,False
02039348,False
02039355,False
02039359,True
02039368,False
02039371,False
02039375,False
02039376,False
02039377,False
02039378,False
02039381,False
02039384,False
02039389,False
02039392,False
02039395,False
02039415,True
02039431,False
02039439,False
02039454,False
02039462,False
02039483,False
02039494,False
02039511,False
02039540,False
02039541,False
02039542,False
02039549,False
02039554,False
02039558,False
02039561,False
02039582,True
02039597,False
02039602,False
02039604,False
02039609,False
02039628,False
02039630,False
02039652,False
02039659,False
02039660,False
02039661,False
02039665,False
02039668,False
02039669,False
02039677,False
02039689,False
02039690,False
02039691,False
02039694,False
02039705,False
02039712,False
02039717,False
02039720,False
02039722,False
02039727,False
02039732,False
02039734,False
02039742,False
02039770,False
02039789,False
02039793,False
02039803,True
02039804,False
02039806,False
02039810,False
02039812,False
02039824,False
02039855,False
02039857,False
02039863,False
02039868,False
02039882,False
02039887,False
02039893,False
02039896,False
02039927,False
02039930,False
02039931,False
02039940,False
02039944,False
02039952,False
02039953,False
02039956,False
02039972,False
02039974,False
02039975,False
02039977,False
02039980,False
02039983,False
02039987,False
02039991,True
02039996,False
02040010,False
02040011,False
02040012,True
02040016,False
02040018,False
02040021,False
02040023,False
02040024,False
02040025,True
02040026,True
02040027,False
02040030,False
02040031,False
02040043,False
02040046,False
02040050,False
02040054,False
02040070,False
02040072,False
02040073,False
02040082,True
02040091,False
02040092,False
02040101,False
02040105,False
02040111,False
02040133,False
02040135,False
02040154,False
02040176,False
02040179,False
02040184,False
02040203,False
02040212,False
02040215,False
02040220,False
02040232,True
02040235,False
02040238,False
02040248,False
02040250,False
02040259,False
02040261,False
02040272,False
02040278,False
02040282,False
02040284,False
02040297,False
02040304,False
02040317,True
02040332,True
02040374,False
02040376,False
02040382,False
02040388,False
02040411,False
02040420,False
02040444,False
02040446,False
02040462,False
02040465,False
02040472,False
02040474,False
02040485,False
02040490,False
02040495,False
02040502,False
02040518,False
02040522,False
02040525,False
02040535,False
02040536,False
02040539,False
02040544,False
02040547,False
02040562,False
02040568,False
02040575,False
02040584,False
02040585,False
02040591,False
02040593,False
02040595,False
02040601,False
02040603,False
02040606,False
02040608,True
02040630,False
02040631,False
02040633,False
02040639,False
02040640,False
02040646,True
02040655,False
02040657,False
02040658,False
02040659,False
02040662,False
02040665,False
02040668,False
02040674,False
02040690,False
02040693,False
02040697,False
02040709,False
02040717,False
02040724,False
02040729,False
02040742,False
02040770,False
02040800,False
02040816,False
02040817,False
02040818,False
02040819,False
02040836,False
02040839,False
02040840,False
02040855,False
02040862,False
02040869,False
02040875,False
02040880,False
02040881,False
02040885,False
02040900,False
02040914,False
02040915,False
02040917,False
02040918,False
02040922,False
02040943,False
02040949,False
02040959,False
02040970,False
02040971,False
02040981,False
02040991,False
02040998,False
02041012,False
02041016,False
02041020,False
02041023,False
02041024,False
02041028,False
02041031,False
02041034,False
02041038,False
02041044,False
02041045,False
02041060,False
02041071,False
02041074,False
02041081,False
02041084,False
02041086,False
02041087,False
02041088,False
02041089,False
02041091,False
02041098,False
02041117,False
02041120,False
02041121,False
02041135,False
02041140,False
02041148,False
02041153,False
02041154,False
02041155,False
02041157,False
02041162,False
02041163,False
02041165,False
02041172,False
02041173,False
02041179,False
02041186,False
02041194,False
02041201,False
02041202,False
02041206,True
02041208,False
02041219,False
02041220,False
02041222,False
02041227,False
02041232,False
02041234,False
02041236,False
02041244,False
02041246,False
02041252,False
02041255,False
02041262,False
02041291,False
02041295,False
02041297,False
02041301,False
02041305,False
02041315,False
02041320,False
02041323,False
02041330,False
02041333,False
02041338,False
02041349,False
02041354,False
02041367,False
02041373,False
02041399,False
02041405,False
02041407,False
02041411,False
02041414,False
02041427,False
02041430,False
02041432,False
02041439,False
02041442,False
02041444,False
02041452,False
02041453,False
02041454,False
02041456,False
02041460,False
02041461,False
02041464,False
02041466,False
02041467,False
02041471,False
02041479,False
02041483,False
02041493,False
02041494,False
02041497,False
02041500,False
02041514,False
02041520,False
02041531,False
02041540,False
02041550,False
02041559,False
02041600,False
02041634,False
02041665,False
02041669,False
02041671,False
02041674,False
02041678,False
02041683,False
02041688,False
02041691,False
02041694,False
02041695,False
02041700,False
02041712,False
02041716,False
02041723,False
02041729,False
02041741,False
02041758,False
02041759,False
02041770,False
02041776,False
02041777,False
02041787,False
02041790,False
02041815,False
02041824,False
02041828,False
02041832,False
02041833,False
02041835,False
02041836,False
02041837,False
02041875,False
02041885,False
02041895,False
02041897,False
02041911,False
02041919,False
02041928,False
02041938,False
02041950,False
02041987,False
02042001,False
02042005,False
02042009,False
02042016,False
02042023,False
02042031,False
02042033,False
02042047,False
02042049,False
02042050,False
02042063,False
02042072,False
02042077,False
02042079,False
02042081,False
02042094,False
02042098,True
02042102,False
02042113,False
02042128,False
02042141,False
02042142,False
02042143,False
02042145,False
02042152,False
02042153,False
02042155,False
02042158,True
02042164,False
02042166,False
02042190,False
02042228,False
02042239,False
02042276,False
02042287,False
02042290,False
02042315,False
02042320,False
02042343,False
02042347,False
02042354,False
02042360,False
02042361,False
02042375,False
02042376,False
02042380,False
02042386,False
02042392,False
02042397,False
02042398,False
02042400,False
02042402,False
02042403,False
02042404,False
02042411,False
02042418,False
02042421,False
02042426,False
02042428,False
02042431,False
02042432,False
02042434,False
02042437,False
02042439,False
02042455,False
02042456,False
02042467,False
02042493,False
02042501,False
02042504,False
02042536,False
02042541,False
02042548,False
02042555,False
02042572,False
02042582,False
02042606,False
02042607,False
02042613,False
02042615,False
02042616,False
02042617,False
02042625,False
02042642,False
02042657,False
02042660,False
02042662,False
02042675,False
02042677,False
02042683,False
02042705,False
02042707,False
02042708,False
02042712,False
02042713,False
02042714,False
02042718,False
02042723,False
02042727,False
02042736,False
02042745,False
02042752,False
02042754,False
02042756,False
02042759,False
02042776,False
02042782,False
02042783,False
02042787,False
02042788,False
02042792,False
02042795,False
02042803,False
02042817,False
02042821,False
02042841,False
02042859,False
02042866,False
02042883,False
02042885,False
02042886,False
02042894,False
02042897,False
02042899,False
02042907,False
02042918,False
02042921,False
02042943,False
02042966,False
02042969,False
02042970,False
02042976,False
