Period,Customer Name,Product,End Date,Fee,Renewal Target Date,Renewal Type,Renewal Status
Q1' 22,Northbridge Financial Corporation,TIBCO Omni-Gen DQ,6/24/2022,1020.06,,,
Q1' 22,U.S. Army Materiel Command,TIBCO Omni-Gen DQ,9/26/2022,153.01,,,
Q1' 22,US Department of Veterans Affairs,TIBCO Omni-Gen DQ,9/30/2022,153.01,,,
Q1' 22,US Department of Veterans Affairs,TIBCO Omni-Gen DQ,9/30/2022,1020.06,,,
Q1' 22,"Fund for Public Health in New York, Inc.",TIBCO Omni-HealthData Cloud - Enterprise Edition,6/30/2024,60578.5,6/30/2024,,
Q1' 22,Ancestry.com,ibi Legacy Omni,2/28/2021,41402.88,3/31/2023,Subscription,Open
Q1' 22,Ancestry.com,ibi Legacy Omni,3/30/2023,6210.43,3/31/2023,Subscription,Open
Q1' 22,AGI,ibi Legacy Omni (Cloud),2/27/2023,22824.02,2/28/2023,Subscription,Lost
Q1' 22,Travel And Transport,ibi Legacy Omni,12/30/2023,27630.17,,,
Q1' 22,Community Care of North Carolina,ibi Legacy Omni,3/29/2022,2625,3/29/2024,,
Q1' 22,The Co-Operative Bank Plc,ibi Legacy Omni,3/17/2021,16326.2,,,
Q2' 22,British Columbia Housing Management Commission,TIBCO Omni-Gen DQ,3/30/2025,20697.12,3/30/2025,,
Q2' 22,Defense Innovation Unit,TIBCO Omni-Gen DQ,5/17/2023,14688.86,,,
Q2' 22,American Thrombosis and Hemostasis Network,TIBCO Omni-HealthData - Basic Edition,3/30/2024,12895,3/30/2024,,
Q3' 22,Hemlock Semiconductor Operations LLC,TIBCO Omni-Gen DQ,8/26/2026,22848,8/26/2026,,
Q3' 22,Defense Intelligence Agency (DIA),TIBCO DQ Service Provider - DQS Add-on,8/23/2023,18361.08,,,
Q3' 22,AFL Telecommunications LLC,TIBCO Omni-Gen MDM - Enterprise Edition,8/19/2022,8700.69,,,
Q3' 22,Carson Tahoe Health,TIBCO Omni-Gen MDM Cloud - Basic Edition,8/26/2026,6000,,,
Q3' 22,Northbridge Financial Corporation,TIBCO Omni-Gen DQ,6/25/2022,15065.5,,,
Q3' 22,Young Life,ibi Legacy WebFOCUS (Cloud),8/30/2023,13284,,,
Q3' 22,Arqiva Ltd,ibi Legacy Omni (Cloud),9/22/2022,20188.45,,,
Q3' 22,Chesapeake Regional Medical Center,ibi Legacy Omni (Cloud),9/29/2023,8886.81,,,
Q4' 22,American National Bank,ibi Legacy Omni,12/30/2023,12436,,,
Q4' 22,Ascention - Australia DOD,,,15097,,,
Q4' 22,Bank United N.A.,TIBCO Omni-Gen MDM - Enterprise Edition,11/27/2024,15552,,,
Q4' 22,FNB Corporation,TIBCO DQ Service Provider - DQS Add-on,11/22/2025,16554,,,
Q4' 22,FNB Corporation,TIBCO DQ Service Provider - DQS Add-on,11/23/2022,2483,,,
Q4' 22,Food For The Poor,TIBCO Omni-Gen MDM Cloud - Basic Edition,12/19/2027,7654,,,
Q4' 22,Food For The Poor,TIBCO Omni-Gen MDM Cloud - Basic Edition,12/19/2027,4754,,,
Q4' 22,Global Indemnity,ibi Legacy Omni (Cloud),12/10/2022,4000,,,
Q4' 22,Global Indemnity,TIBCO Omni-Gen DQ Cloud,12/10/2023,14689,,,
Q4' 22,Global Indemnity,TIBCO Omni-Gen DQ Cloud,12/10/2023,2203,,,
Q4' 22,Mid-Continent Group,TIBCO Omni-Gen DQ,11/30/2021,47603,,,
Q4' 22,ScotiaBank,ibi Legacy iWay (RTU),10/31/2022,24102,,,
Q4' 22,Servus Credit Union Ltd,TIBCO Omni-Gen MDM - Enterprise Edition,11/1/2021,9355,,,
Q4' 22,Sound Credit Union,ibi Legacy Omni,11/5/2023,6205,,,
Q4' 22,The Bank of Nova Scotia dba Scotiabank,TIBCO DQ Service Provider - DQS Add-on,10/31/2025,24837,,,
Q4' 22,The Bank of Nova Scotia dba Scotiabank,TIBCO DQ Service Provider - DQS Add-on,10/31/2025,6209,,,
Q4' 22,The Corporation of the City of Brampton,TIBCO Omni-Gen MDM Cloud - Enterprise Edition,9/20/2023,12506,,,
Q4' 22,The Health Collaborative,ibi Legacy Omni AIDQC (Cloud),12/22/2024,36484,,,
Q4' 22,The Northern Trust Company,ibi Legacy Omni (RTU),2/28/2021,15260,,,
Q4' 22,The Team Companies,TIBCO Omni-Gen MDM - Basic Edition,9/19/2022,5696,,,
Q4' 22,Utah Transit Authority,ibi Legacy iWay,12/31/2023,14340,,,
